EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,29.0,SAR,66.99
Bahrain Grand Prix,29.0,MAG,80.831
Bahrain Grand Prix,29.0,DEV,94.46
Bahrain Grand Prix,29.0,TSU,82.349
Bahrain Grand Prix,29.0,ALB,80.804
Bahrain Grand Prix,29.0,ZHO,70.001
Bahrain Grand Prix,29.0,HUL,107.955
Bahrain Grand Prix,29.0,OCO,99.725
Bahrain Grand Prix,29.0,NOR,120.846
Bahrain Grand Prix,29.0,HAM,34.872
Bahrain Grand Prix,29.0,SAI,31.379
Bahrain Grand Prix,29.0,RUS,42.323
Bahrain Grand Prix,29.0,BOT,56.399
Bahrain Grand Prix,30.0,VER,0.0
Bahrain Grand Prix,30.0,GAS,82.077
Bahrain Grand Prix,30.0,PER,13.455
Bahrain Grand Prix,30.0,ALO,37.656
Bahrain Grand Prix,30.0,LEC,19.625
Bahrain Grand Prix,30.0,STR,48.337
Bahrain Grand Prix,30.0,SAR,71.85
Bahrain Grand Prix,30.0,MAG,104.215
Bahrain Grand Prix,30.0,DEV,94.62
Bahrain Grand Prix,30.0,TSU,82.947
Bahrain Grand Prix,30.0,ALB,81.186
Bahrain Grand Prix,30.0,ZHO,71.834
Bahrain Grand Prix,30.0,HUL,108.023
Bahrain Grand Prix,30.0,OCO,101.933
